
6.58%,4.84%,100.91%,1.21,121.47%,0.04次,17.53%,4415万,3634万,3634万,8.90亿,1.56亿,8.90亿,9288万,4866万,5.08亿,3.82亿,3634万,528万,3845万,1.07亿,--,2038万,2838万,88.7万,--,--,--,4.26万,320万,671万,999万,1.50亿,--,2811万,--,--,38.1万,2142万,439万,85.0万,3174万,--,131万,13,--,--,1.48亿,7380万,﻿多元金融﻿600695
5.58%,1.17%,64.09%,4.85,12.36%,0.09次,79.39%,32.5亿,263亿,263亿,2705亿,2147亿,2705亿,274亿,243亿,259亿,2446亿,263亿,154亿,82.2亿,123亿,--,3.29亿,2094万,2892万,--,--,--,--,5.78亿,66.7亿,28.9亿,41.1亿,90.3亿,11.3亿,--,1.42亿,3501万,--,1.45亿,410万,14.0亿,--,1935亿,3.56亿,1980万,94.0万,271亿,3.54亿,﻿多元金融000415
4.36%,3.65%,100.00%,1.19,35.44%,0.10次,16.30%,4.59亿,13.0亿,13.0亿,129亿,21.0亿,129亿,17.0亿,5.34亿,--,--,13.0亿,--,--,4.95亿,--,549万,1.41亿,928万,--,--,--,9256,1.38亿,--,--,368万,--,2.60亿,--,--,--,--,--,286万,--,--,6978万,2.95亿,--,--,--,--,﻿多元金融000563
7.44%,1.13%,60.74%,7.05,27.27%,0.04次,85.82%,34.6亿,127亿,127亿,3112亿,2671亿,3112亿,146亿,88.8亿,1762亿,1351亿,127亿,40.0亿,33.6亿,521亿,--,5089万,5.32亿,1.88亿,--,--,--,8261万,13.1亿,10.7亿,5.59亿,42.4亿,1060万,12.4亿,--,13.5亿,9474万,22.9亿,5995万,726万,9.49亿,--,130亿,50.9亿,1056万,18.8亿,31.9亿,65.9亿,﻿多元金融600705
10.15%,3.73%,100.02%,2.71,36.73%,0.10次,63.06%,10.2亿,27.8亿,27.8亿,287亿,181亿,287亿,31.1亿,19.8亿,84.2亿,203亿,27.8亿,7.49亿,6.86亿,13.4亿,--,3459万,738万,2339万,--,--,--,169万,3.80亿,2.01亿,17.2亿,17.7亿,4864万,3.17亿,--,2009万,2996万,4272万,162万,1.46亿,4.65亿,--,52.1亿,5539万,675万,5.70亿,3.75亿,1.24亿,﻿多元金融600643
3.80%,0.64%,100.39%,5.71,1.06%,0.60次,82.47%,8073万,76.4亿,76.4亿,140亿,115亿,140亿,77.7亿,3.87亿,--,--,76.4亿,--,--,76.2亿,--,2.05亿,1158万,178万,--,--,--,111万,2823万,--,--,1403万,537万,1.22亿,999万,--,--,48.8万,--,459万,--,--,2565万,926万,--,7885万,--,--,﻿多元金融603093
6.51%,1.79%,100.00%,3.57,13.05%,0.14次,71.96%,9231万,7.07亿,7.07亿,59.9亿,43.1亿,59.9亿,7.29亿,1.28亿,--,--,7.07亿,--,--,32.7亿,--,3.37亿,1321万,118万,--,--,--,5665,2816万,--,--,--,550万,860万,28.9万,--,--,--,--,58.3万,--,--,3686万,358万,--,4.66亿,--,--,﻿多元金融002961
3.38%,3.44%,92.80%,1.03,52.50%,0.07次,2.59%,3196万,6087万,6087万,9.36亿,2422万,9.36亿,7320万,4037万,6.79亿,2.57亿,6087万,3.75万,2796万,4843万,--,31.4万,1459万,41.0万,--,--,--,4270,1196万,65.2万,745万,2910万,--,-227万,--,617万,17.8万,--,72.9万,--,2114万,--,3471万,723万,--,--,--,5.85亿,﻿多元金融000416
7.98%,1.69%,77.30%,4.81,25.20%,0.07次,79.21%,17.3亿,68.8亿,68.8亿,1086亿,860亿,1086亿,89.1亿,21.4亿,--,--,68.8亿,--,--,157亿,--,8024万,4376万,4157万,--,--,--,7272万,6.72亿,--,--,2.78亿,--,19.1亿,494万,--,--,--,--,4078万,--,--,9251万,6.79亿,--,586万,--,--,﻿多元金融000987
7.85%,2.50%,85.77%,3.35,25.38%,0.10次,70.12%,31.0亿,122亿,122亿,1275亿,894亿,1275亿,137亿,78.2亿,673亿,601亿,122亿,51.1亿,17.3亿,121亿,--,4.21亿,3.55亿,4082万,--,--,35.3万,303万,9.25亿,2.94亿,1132万,13.6亿,14.1亿,11.1亿,--,3075万,2.06亿,663万,3472万,898万,14.1亿,--,6909万,15.8亿,2.67亿,4.23亿,10.1亿,70.2亿,﻿多元金融600390
3.55%,0.68%,62.77%,5.41,16.13%,0.04次,81.50%,1.98亿,12.3亿,12.3亿,286亿,233亿,286亿,20.5亿,10.4亿,--,--,12.3亿,--,--,48.2亿,--,4.28亿,87.9万,876万,--,--,--,262万,6700万,--,--,25.9亿,4.04亿,8.15亿,--,--,--,10.5亿,--,147万,--,--,1.09亿,1.14亿,--,3.09亿,--,--,﻿多元金融000712
1.10%,1.12%,66.27%,1.12,9.47%,0.12次,10.48%,3235万,3.42亿,3.42亿,27.9亿,2.93亿,27.9亿,3.65亿,2.76亿,12.6亿,15.4亿,3.42亿,1.70亿,7380万,10.1亿,--,4315万,--,442万,--,--,--,2302万,1755万,246万,3013万,--,--,16.8万,--,346万,1201万,9633万,42.4万,1070万,6788万,--,7702万,9224万,1926万,--,1500万,424万,﻿多元金融600830
-2.81%,-2.12%,100.00%,1.24,-17.91%,0.12次,19.40%,-1859万,1.04亿,1.04亿,8.11亿,1.57亿,8.11亿,1.29亿,1.10亿,7.76亿,3420万,1.04亿,6643万,3002万,1.88亿,--,920万,572万,40.7万,--,--,--,38.2万,1200万,176万,2513万,--,--,1872万,--,854万,41.8万,--,615万,142万,1973万,--,139万,1696万,783万,--,51.2万,1.62亿,﻿多元金融600599
