分类,时间,净资产收益率,总资产净利率,归属母公司股东的净利润占比,权益乘数,营业净利润率,总资产周转率,资产负债率,净利润,营业总收入,营业总收入,资产总额,负债总额,资产总额,收入总额,成本总额,流动资产,非流动资产,营业总收入,营业成本,期间费用,货币资金,可供出售金融资产,无形资产,共允价值变动收益,营业税金及附加,交易性金融资产,持有至到资产,持有至到期投资,营业外收入,所得税费用,财务费用,应收账款,长期股权投资,商誉,投资收益,资产减值损失,销售费用,预付账款,投资性房地产,长期待摊费用,营业外支出,管理费用,其他应收款,固定资产,递延所得税资产,存货,在建工程,其他非流动性资产,其他流动性资产,所属行业企业代码,行业代码
按报告期,2019-09-30,6.58%,4.84%,100.91%,1.21,121.47%,0.04次,17.53%,4415万,3634万,3634万,89000.0万,15600.0万,89000.0万,9288万,4866万,50800.0万,38200.0万,3634万,528万,3845万,10700.0万,--,2038万,2838万,88.7万,--,--,--,4.26万,320万,671万,999万,15000.0万,--,2811万,--,--,38.1万,2142万,439万,85.0万,3174万,--,131万,13,--,--,14800.0万,7380万,﻿多元金融,﻿多元金融
按报告期,2019-06-30,7.18%,5.98%,100.34%,1.22,219.25%,0.03次,17.78%,5459万,2490万,2490万,89000.0万,15800.0万,89000.0万,8756万,3304万,53099.99999999999万,35900.0万,2490万,342万,2351万,5103万,--,2058万,3917万,67.2万,--,--,--,4.20万,492万,488万,582万,14500.0万,--,2344万,--,--,55.9万,2195万,445万,51.4万,1864万,--,135万,13,--,--,14900.0万,8680万,﻿多元金融,﻿多元金融
按报告期,2019-03-31,9.43%,7.02%,100.14%,1.23,608.24%,0.01次,18.94%,6478万,1065万,1065万,91100.0万,17300.0万,91100.0万,8811万,2315万,47600.0万,43500.0万,1065万,182万,1185万,3479万,--,2077万,6576万,36.7万,--,--,--,4.13万,912万,315万,258万,14000.0万,--,1166万,--,--,84.8万,2248万,465万,--,870万,--,139万,13,--,--,14900.0万,9000万,﻿多元金融,﻿多元金融
按报告期,2018-12-31,8.95%,6.01%,99.72%,1.42,135.88%,0.04次,29.40%,6521万,4799万,4799万,93500.0万,27500.0万,93500.0万,13799.999999999998万,7276万,38300.0万,55199.99999999999万,4799万,762万,5243万,9328万,13600.000000000002万,2097万,-278万,134万,--,--,--,--,218万,-65.7万,77.3万,14100.0万,--,9261万,906万,--,91.7万,2301万,508万,12.6万,5309万,--,144万,13,--,--,15000.0万,9000万,﻿多元金融,﻿多元金融
按报告期,2018-09-30,0.70%,0.47%,96.57%,1.37,15.65%,0.03次,27.18%,504万,3223万,3223万,90800.0万,24700.000000000004万,90800.0万,5569万,4370万,18100.0万,72700.0万,3223万,567万,3698万,8031万,26100.0万,2320万,18.6万,102万,--,--,--,--,9,-375万,363万,13700.000000000002万,--,2327万,--,--,75.6万,446万,536万,2.37万,4073万,--,1860万,--,--,--,15100.0万,3500万,﻿多元金融,﻿多元金融
按年度,2018-12-31,8.95%,6.01%,99.72%,1.42,135.88%,0.04次,29.40%,6521万,4799万,4799万,93500.0万,27500.0万,93500.0万,13799.999999999998万,7276万,38300.0万,55199.99999999999万,4799万,762万,5243万,9328万,13600.000000000002万,2097万,-278万,134万,--,--,--,--,218万,-65.7万,77.3万,14100.0万,--,9261万,906万,--,91.7万,2301万,508万,12.6万,5309万,--,144万,13,--,--,15000.0万,9000万,﻿多元金融,﻿多元金融
按年度,2017-12-31,6.37%,3.71%,101.28%,1.77,93.95%,0.04次,43.58%,4704万,5007万,5007万,123000.0万,53800.0万,123000.0万,12100.0万,12600.0万,43600.0万,79800.0万,5007万,600万,11500.0万,22300.0万,33300.0万,2383万,4.32万,145万,--,--,--,1435万,23.8万,4977万,10.3万,13300.0万,--,5663万,236万,--,255万,517万,899万,59.8万,6540万,--,1999万,9,--,--,15100.0万,13600.000000000002万,﻿多元金融,﻿多元金融
按年度,2016-12-31,7.13%,4.05%,101.52%,1.77,104.09%,0.04次,43.42%,5228万,5022万,5022万,130000.0万,56400.0万,130000.0万,14200.0万,10700.0万,48500.0万,81400.0万,5022万,1970万,7130万,11900.0万,44200.0万,2467万,-2.46万,235万,--,--,--,5811万,20.6万,1045万,47.1万,10900.0万,--,3364万,1306万,208万,28.5万,631万,128万,41.2万,5877万,24700.000000000004万,2135万,--,--,--,15200.0万,7569万,﻿多元金融,﻿多元金融
按年度,2015-12-31,9.10%,4.97%,100.85%,1.63,19.76%,0.25次,38.48%,4786万,24500.0万,24500.0万,128000.0万,49300.0万,128000.0万,34200.0万,29400.0万,36400.0万,91800.0万,24500.0万,21600.0万,7495万,15700.0万,56800.0万,4781万,2.46万,72.5万,--,--,--,754万,1.51万,948万,732万,310万,--,8919万,-497万,1006万,3063万,1454万,134万,694万,5541万,14800.0万,8839万,--,7.97万,148万,15400.0万,16.5万,﻿多元金融,﻿多元金融
